,Statment,condition
0,1ContentsA.,0.0
1,Sales ProspectusGeneral Section 2General Information 2Investor profiles 13Investment Company 14Management Company 19Depositary 19B.,0.0
2,"Sales ProspectusSpecial Section 23DWS Funds Global Protect 80 23DWS Funds Global Protect 90 25DWS Funds Invest SachwertStrategie 27DWS Funds Invest VermögensStrategie 29DWS Funds Invest ZukunftsStrategie 31DWS Garant 80 ETF-Portfolio  33DWS Zinseinkommen 36General InformationThe investment company described in this sales prospectus is an open-ended investment company (ﬁInvestment Companyﬂ) incorporated in Luxembourg as a SICAV (Société d' Inves-tissement à Capital Variable) in accordance with Part I of the Luxembourg law on Undertakings For Collective Investment of December 17, 2010 (ﬁLaw of 2010ﬂ), and complies with the provisions of Directive 2014/91/EU (amending Directive 2009/65/EC) (UCITS) and the provisions of the Grand Ducal Regulation of February 8, 2008, on certain definitions of the amended Law of December 20, 2002, on Undertakings for Collective Investment1 (ﬁGrand Ducal Regulation of February 8, 2008ﬂ), which transposed Direc-tive 2007/16/EC2 (ﬁDirective 2007/16/ECﬂ) into Luxembourg law.",0.0
3,"With regard to the provisions contained in Directive 2007/16/EC and in the Grand Ducal Regulation of February 8, 2008, the guidelines of the Committee of European Securities Reg-ulators (CESR) in the document ﬁCESR's guide-lines  concerning eligible assets for investment by UCITSﬂ, as amended, provide a number of additional explanations that are to be observed relating to the financial instruments eligible for investment by UCITS covered by Directive 2009/65/EC.3The Investment Company may, at its discre-tion, offer the investor one or more sub-funds.",0.0
4,The aggregate of the sub-funds produces the umbrella fund.,1.0
5,"In relation to third parties, the assets of a sub-fund are only liable for the liabili-ties and payment obligations relating to that sub-fund.",0.0
6,Additional sub-funds may be established and/or one or more existing sub-funds may be liquidated or merged at any time.,0.0
7,The following provisions apply to all sub-funds established under DWS Funds.,0.0
8,The respective special regulations for the individual sub-funds are contained in the special section of the sales prospectus.,0.0
9,The investor may be offered one or more share classes (variants with multiple share classes) within each sub-fund.,0.0
10,The aggregate of the share classes produces the sub-fund.,0.0
11,Additional share classes may be established and/or one or more existing share classes may be liquidated or merged at any time.,0.0
12,"Share classes may be combined into share categories.1 Replaced by the Law of 2010.2  Commission Directive 2007/16/EC of March 19, 2007, implementing Council Directive 85/611/EEC on the coordination of laws, regulations and administrative pro-visions relating to undertakings for collective investment in transferable securities (UCITS) as regards the clarifica-tion of certain definitions (ﬁDirective 2007/16/ECﬂ).3  Cf.",0.0
13,"CSSF circular 08-339, as amended: CESR™s guidelines concerning eligible assets for investment by UCITS Œ March 2007, Ref.",0.0
14,": CESR/07-044; CESR™s guidelines concerning eligible assets for investment by UCITS Œ The classification of hedge fund indices as financial indices Œ July 2007, Ref.",0.0
15,": CESR/07-434.Legal structure: SICAV organized under Part I of the Law of December 17, 2010, on Undertakings for Collective Investment.2A.",0.0
16,Sales Prospectus - General SectionGeneral InformationThe legal basis for the purchase of sub-fund shares is the currently valid sales prospectus in connection with the currently valid articles of incorporation and by-laws of the Investment Company.It is prohibited to provide any information or to make any representations other than those contained in this sales prospectus.,0.0
17,The Invest-ment Company shall not be liable if and to the extent that information is provided or representa-tions are made which deviate from this sales prospectus.,0.0
18,"The articles of incorporation and by-laws, the sales prospectus and the key investor informa-tion document, as well as the semiannual and annual reports are available free of charge from the Investment Company, the Management Company and from the paying agents.",0.0
19,"The Management Company will provide the share-holders with other important information in an appropriate form.Up to 100% of the assets of the respective sub-fund may be invested in securities of a single issuer, provided that the conditions set out below in no.",0.0
20,2.,0.0
21,(A) (i) of the sales prospectus are met.General risk warningsInvesting in the shares of the Investment Com-pany involves risks.,0.0
22,"Risks may include or be associated with equity and bond market risks, interest rate, credit, counterparty default, liquid-ity and counterparty risks, as well as exchange rate, volatility and political risks.",0.0
23,Each of these risks can also occur together with other risks.,0.0
24,Some of these risks are briefly discussed below.,0.0
25,Potential investors should inform themselves about investments and instruments that can be used within the framework of the planned investment policy.,0.0
26,"Investors should also be aware of the risks associated with investing in the shares and should only make an investment decision when they have received comprehen-sive advice from their legal, tax and financial advisors, auditors or other advisors on (i) the suitability of an investment in the shares, taking into account their personal financial and tax situation and other circumstances, (ii) the infor-mation contained in this sales prospectus and (iii) the investment policy of the relevant sub-fund.It should be noted that a sub-fund™s invest-ments also contain risks as well as opportuni-ties for price increases.",0.0
27,The shares of the Investment Company are securities whose value is determined by the price fluctuations of the assets they contain.,0.0
28,"Accordingly, the value of the shares may rise or fall relative to the purchase price.",0.0
29,"Consequently, no assurance can be given that the objectives of the investment policy will be achieved.Market riskThe price or market performance of financial products depends, in particular, on the perfor-mance of the capital markets, which in turn are affected by the overall economic situation and the general economic and political framework in individual countries.",0.0
30,"Irrational factors such as sentiment, opinions and rumors can also have an effect on general price performance, particularly on an exchange.",0.0
31,Creditworthiness riskThe credit quality (ability and willingness to pay) of the issuer of a security or money market instrument held directly or indirectly by the fund may subsequently decline.,1.0
32,"As a rule, this leads to price declines of the respective security that exceed the general market fluctuations.Country or transfer riskA country risk exists when a foreign borrower, despite ability to pay, cannot make payments at all, or not on time, because of the inability or unwillingness of its country of domicile to exe-cute transfers.",0.0
33,"This means that, for example, payments to which the sub-fund is entitled may not occur, or may be in a currency that is no longer convertible due to restrictions on currency exchange.Settlement riskEspecially when investing in unlisted securities, there is a risk that settlement via a transfer system is not executed as expected because a payment or delivery did not take place in time or as agreed.Legal and tax riskThe legal and tax treatment of sub-funds may change in ways that cannot be predicted or influenced.",0.0
34,"In the case of a correction with tax consequences that are essentially unfavorable for the investor, changes to the sub-fund™s taxation bases for preceding fiscal years made because these bases are found to be incorrect can result in the investor having to bear the tax burden resulting from the correction for preced-ing fiscal years, even though he may not have held an investment in the investment fund at the time.",0.0
35,"Conversely, the investor may fail to benefit from an essentially favorable correction for the current or preceding fiscal years during which he held an investment in the investment fund if the shares are redeemed or sold before the correc-tion takes place.In addition, a correction of tax data can result in a situation where taxable income or tax benefits are actually assessed for tax in a different assessment period to the applicable one and that this has a negative effect for the individual investor.Currency riskTo the extent the sub-fund invests in assets denominated in currencies other than the respec-tive sub-fund currency, the sub-fund will receive income, repayments and proceeds from such investments in these other currencies.",0.0
36,"If the value of these currencies falls in relation to the sub-fund currency, the value of the sub-fund is reduced.",0.0
37,"Custody riskCustody risk describes the risk resulting from the basic possibility that in the event of insolvency, violations of due diligence or improper conduct on the part of the Depositary or a sub-depositary, the assets held in custody could be partially or completely withdrawn from access by the sub-fund, to its detriment.Concentration riskAdditional risks may arise from a concentration of investments in particular assets or markets.",0.0
