Statment,Relevant?,Condition
"['2 GENERAL REGULATIONS Attached to this sales prospectus are the man-agement regulations for the fund.',",N,0
" 'The sales prospectus and management regulations form a unit, providing information on and explanations of one and the same subject, and therefore supple-ment one another.',",N,0
" 'The sales prospectus, the key investor informa-tion document and the management regulations, as well as the annual and semiannual reports, are available free of charge from the Management Company and the paying agents.',",N,0
" 'Other important information will be communicated to unitholders in a suitable form by the Management Company.Notices to unitholders may be viewed on the Ma- nagement Company website funds.deutscheam.',",N,0
" 'com/lu.',",N,0
" 'Where provided for in a country of distri-bution, notices shall additionally be published in a newspaper and/or in another publication medium as directed by law.',",N,0
" 'In cases where this is required by Luxembourg law, the publications shall con-tinue to appear in at least one Luxembourg daily newspaper and, if necessary, in the Recueil Elec-tronique des Sociétés et Associations (RESA) of the Commercial Register.MANAGEMENT COMPANYThe fund is managed by Deutsche Asset Man-agement S.A., Luxembourg (the ?Management Company?), which fulfills the requirements of chapter 15 of the Law of 2010, and thus the pro-visions of Directive 2009/65/EC of the European Parliament and of the Council of July 13, 2009, governing management companies.',",N,0
" 'The Management Company was established on April 15, 1987, with subsequent publication in the Mémorial C taking place on May 4, 1987.',",N,0
" 'Its sub-scribed and paid-in capital is EUR 30,677,400.',",N,0
" 'The management of the investment fund includes, but is not limited to, those tasks specified in Appendix II of the Law of 2010.The Management Company may, in compliance with the regulations of the Luxembourg Law of 2010, and regulation 10-04 of the Commission de Surveillance du Secteur Financier and related circulars if applicable, delegate one or more tasks to third parties under its supervision and control.',",N,0
" '(i) Investment managementThe Management Company, under its respon-sibility and control and at its own expense, has entered into a fund management agreement for the fund with Deutsche Asset Management Investment GmbH, Frankfurt/Main, Germany.',",N,0
" 'Deutsche Asset Management Investment GmbH is an investment company under German law.',",N,0
" 'The contract may be terminated by any of the parties on three months™ notice.',",N,0
" 'In this respect, fund management shall encom-pass the day-to-day implementation of the invest-ment policy and direct investment decisions.',",N,0
" 'The designated fund manager may delegate fund management services in whole or in part, under its supervision, control and responsibility, and at its own expense.',",N,0
" 'The fund manager may also appoint investment advisors at its own expense and under its con-trol and responsibility.',",N,0
" 'The investment advisory function shall in particular encompass analysis and recommendations of suitable investment instruments for the fund.',",N,0
" 'The fund manager is not bound to the recommendations offered by the investment advisor.',",N,0
" 'Any investment advisors designated by the fund manager are listed under ?Management and Administration?.',",N,0
" 'The desig-nated investment advisors shall have the corre-sponding supervisory approvals.',",N,0
" '(ii) Administration, registrar and transfer agentThe first responsibility of the Management Company, Deutsche Asset Management S.A., is to perform central administration functions, in particular fund bookkeeping and net asset value calculation.',",N,0
" 'In addition, Deutsche Asset Management S.A. is responsible for the remain-ing administrative tasks.',",N,0
" 'These include, among other things, the retrospective monitoring of investment limits and restrictions as well as the functions of domiciliary agent and registrar and transfer agent.With regard to the function as registrar and trans-fer agent, Deutsche Asset Management S.A. has entered into a sub-transfer agent agreement with State Street Bank GmbH in Munich.',",N,0
" 'Within the scope of this agreement, State Street Bank GmbH in particular assumes the duties of manag-ing the global certificate, which is deposited with Clearstream Banking AG in Frankfurt/Main.',",N,0
" '(iii) DistributionDeutsche Asset Management S.A. acts as the main distributor.Deutsche Asset Management S.A. may enter into nominee agreements with institutions, i.e., Professionals of the Financial Sector in Luxem-bourg and/or comparable entities under the laws of other countries, that are under obligation to identify unitholders.',",N,0
" 'The nominee agreements give the respective institutions the right to sell units and be entered as nominees in the regis-ter of units.',",N,0
" 'The names of the nominees can be requested from Deutsche Asset Management S.A. at any time.',",N,0
" 'The nominee shall accept buy, sell and exchange orders from the investors it works for and arrange for the required changes to be made in the register of units.',",N,0
" 'In this capacity, the nominee is particularly required to take into account any special prerequisites governing the purchase of units for the existing unit classes.',",N,0
" 'If there are no conflicting practical or legal consid-erations, an investor who acquired units through a nominee can submit a written declaration to Deutsche Asset Management S.A. or the transfer agent demanding that he himself be entered into the register as a unitholder once all necessary proofs of identity have been supplied.',",N,0
" 'Special noticeThe Management Company draws investors™ attention to the fact that any investor can only assert his investor rights in their entirety directly against the fund if the investor subscribed the fund units himself and in his own name.',",N,0
" 'In cases where an investor invested in a fund via an inter-mediary, who invested in his own name but for the account of the investor, the investor may not be able to directly assert all his investors™ rights directly against the fund.',",N,0
" 'Investors are advised to find out about their rights.DEPOSITARYThe Depositary of the fund is State Street Bank Luxembourg S.C.A.',",N,0
" 'The Depositary is a credit institution under Lux-embourg Law.',",N,0
" 'It is responsible for the safekeep-ing of the net assets.',",N,0
" 'Furthermore, it particularly performs monitoring tasks.',",N,0
" 'The Depositary fulfills its custody obligations as follows: a) The following applies to financial instruments that can be held in custody: ŒThe Depositary shall hold in custody all finan-cial instruments that can be credited to a cus-tody account for financial instruments and all financial instruments that can be physically transferred to the Depositary.',",N,0
" 'ŒThe Depositary ensures that financial instru-ments that can be posted to an account for financial instruments in the securities deposit are registered, in the books of the Depositary, in separate accounts that were opened in the name of the fund or of the Management Company acting on behalf of the fund, such that the financial instruments can be uniquely identified at all times in accordance with the applicable law as instruments that are owned by the fund.',",N,0
" 'b) The following applies for other assets:  ŒThe Depositary verifies whether the fund or the Management Company acting for it is the owner of the relevant assets and keeps records on this.',",N,0
" 'The Depositary carries out the following activities within the scope of its monitoring duties: The Depositary:  Œensures that the sale, issue, redemption, pay-out, and cancellation of the fund™s units are in compliance with Luxembourg law and the management regulations; Œensures that the calculation of the value of the fund™s units is in compliance with Luxem-bourg law and the management regulations; Œcarries out the Management Company™s instructions, unless they violate Luxembourg law, the sales prospectus or the management regulations; Œensures that the equivalent value of transac-tions involving the fund™s assets is transferred within the customary periods; Œensures that the fund™s income is used in compliance with Luxembourg law and the management regulations.The Depositary ensures that the cash flows of the fund are monitored properly and ensures, in A.',",N,0
